1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y,6_x,6_y,7_x,7_y,8_x,8_y,9_x,9_y,10_x,10_y,11_x,11_y,12_x,12_y,13_x,13_y,14_x,14_y,15_x,15_y,16_x,16_y,99_x,99_y
787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,362.5,787.5,312.5,787.5,287.5,787.5,337.5,787.5,262.5,787.5,212.5,712.5,462.5,787.5,237.5,787.5,187.5,762.5,187.5,737.5,187.5,712.5,187.5,737.5,300
787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,712.5,437.5,787.5,337.5,787.5,312.5,787.5,362.5,787.5,287.5,787.5,237.5,712.5,462.5,787.5,262.5,787.5,187.5,762.5,187.5,737.5,187.5,712.5,187.5,737.5,300
787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,712.5,437.5,787.5,362.5,787.5,337.5,712.5,412.5,787.5,312.5,787.5,262.5,712.5,462.5,787.5,287.5,787.5,187.5,762.5,187.5,737.5,187.5,712.5,187.5,737.5,300
787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,712.5,437.5,712.5,387.5,787.5,362.5,712.5,412.5,787.5,337.5,787.5,287.5,712.5,462.5,787.5,312.5,787.5,187.5,762.5,187.5,737.5,187.5,712.5,187.5,737.5,300
787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,712.5,437.5,712.5,387.5,712.5,362.5,712.5,412.5,787.5,362.5,787.5,312.5,712.5,462.5,787.5,337.5,787.5,237.5,762.5,237.5,737.5,237.5,712.5,237.5,737.5,300
787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,712.5,437.5,712.5,387.5,712.5,362.5,712.5,412.5,737.5,362.5,787.5,337.5,712.5,462.5,787.5,362.5,787.5,237.5,762.5,237.5,737.5,237.5,712.5,237.5,737.5,300
787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,712.5,437.5,712.5,387.5,712.5,362.5,712.5,412.5,737.5,362.5,787.5,362.5,712.5,462.5,762.5,362.5,787.5,237.5,762.5,237.5,737.5,237.5,712.5,237.5,737.5,300
787.5,512.5,762.5,512.5,737.5,512.5,712.5,512.5,712.5,462.5,712.5,412.5,712.5,387.5,712.5,437.5,712.5,362.5,762.5,362.5,712.5,487.5,737.5,362.5,787.5,237.5,762.5,237.5,737.5,237.5,712.5,237.5,737.5,300
787.5,512.5,762.5,537.5,737.5,537.5,712.5,537.5,712.5,487.5,712.5,437.5,712.5,412.5,712.5,462.5,712.5,387.5,737.5,362.5,687.5,512.5,712.5,362.5,787.5,237.5,762.5,237.5,737.5,237.5,712.5,237.5,737.5,300
787.5,512.5,762.5,537.5,737.5,562.5,712.5,562.5,687.5,512.5,712.5,462.5,712.5,437.5,712.5,487.5,712.5,412.5,712.5,362.5,687.5,537.5,712.5,387.5,787.5,237.5,762.5,237.5,737.5,237.5,712.5,237.5,737.5,300
