1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y,6_x,6_y,7_x,7_y,8_x,8_y,9_x,9_y,10_x,10_y,11_x,11_y,12_x,12_y,13_x,13_y,14_x,14_y,15_x,15_y,16_x,16_y,99_x,99_y
787.5,512.5,762.5,537.5,737.5,562.5,712.5,587.5,687.5,537.5,712.5,487.5,712.5,462.5,687.5,512.5,712.5,437.5,712.5,387.5,687.5,562.5,712.5,412.5,787.5,237.5,762.5,237.5,737.5,237.5,712.5,237.5,737.5,300
787.5,512.5,762.5,537.5,737.5,562.5,712.5,587.5,687.5,562.5,687.5,512.5,712.5,487.5,687.5,537.5,712.5,462.5,712.5,412.5,687.5,587.5,712.5,437.5,787.5,262.5,762.5,262.5,737.5,262.5,712.5,262.5,737.5,325
787.5,512.5,762.5,537.5,737.5,562.5,737.5,587.5,687.5,587.5,687.5,537.5,687.5,512.5,687.5,562.5,712.5,487.5,712.5,437.5,712.5,612.5,712.5,462.5,787.5,287.5,762.5,287.5,737.5,287.5,712.5,287.5,737.5,350
787.5,512.5,762.5,537.5,762.5,562.5,762.5,587.5,712.5,612.5,687.5,562.5,687.5,537.5,687.5,587.5,687.5,512.5,712.5,462.5,737.5,612.5,712.5,487.5,787.5,312.5,762.5,312.5,737.5,312.5,712.5,312.5,737.5,375
787.5,512.5,787.5,537.5,787.5,562.5,787.5,587.5,737.5,612.5,687.5,587.5,687.5,562.5,712.5,612.5,687.5,537.5,712.5,487.5,762.5,612.5,687.5,512.5,787.5,337.5,762.5,337.5,737.5,337.5,712.5,337.5,737.5,400
812.5,512.5,812.5,537.5,812.5,562.5,812.5,587.5,762.5,612.5,712.5,612.5,687.5,587.5,737.5,612.5,687.5,562.5,687.5,512.5,787.5,612.5,687.5,537.5,787.5,362.5,762.5,362.5,737.5,362.5,712.5,362.5,737.5,425
812.5,512.5,812.5,537.5,812.5,562.5,812.5,587.5,762.5,612.5,712.5,612.5,687.5,587.5,737.5,612.5,687.5,562.5,687.5,512.5,787.5,612.5,687.5,537.5,787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,737.5,550
1112.5,512.5,1112.5,537.5,1112.5,562.5,1112.5,587.5,762.5,612.5,712.5,612.5,687.5,587.5,737.5,612.5,687.5,562.5,687.5,512.5,787.5,612.5,687.5,537.5,787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,1050,550
1112.5,512.5,1112.5,537.5,1112.5,562.5,1112.5,587.5,762.5,612.5,712.5,612.5,687.5,587.5,737.5,612.5,687.5,562.5,687.5,512.5,787.5,612.5,687.5,537.5,787.5,512.5,762.5,537.5,737.5,562.5,712.5,587.5,1050,550
1112.5,512.5,1112.5,537.5,1112.5,562.5,1112.5,587.5,762.5,612.5,712.5,612.5,687.5,587.5,737.5,612.5,687.5,562.5,687.5,512.5,787.5,612.5,687.5,537.5,787.5,512.5,787.5,537.5,787.5,562.5,787.5,587.5,1050,550
1112.5,512.5,1112.5,537.5,1112.5,562.5,1112.5,587.5,787.5,612.5,737.5,612.5,712.5,612.5,762.5,612.5,687.5,587.5,687.5,537.5,812.5,587.5,687.5,562.5,787.5,512.5,787.5,537.5,787.5,562.5,787.5,587.5,1050,550
1112.5,512.5,1112.5,537.5,1112.5,562.5,1112.5,587.5,812.5,587.5,762.5,612.5,737.5,612.5,787.5,612.5,712.5,612.5,687.5,562.5,837.5,587.5,687.5,587.5,787.5,512.5,787.5,537.5,787.5,562.5,787.5,587.5,1050,550
1112.5,512.5,1112.5,537.5,1112.5,562.5,1112.5,587.5,837.5,587.5,787.5,612.5,762.5,612.5,812.5,587.5,737.5,612.5,687.5,587.5,862.5,587.5,712.5,612.5,787.5,512.5,787.5,537.5,787.5,562.5,787.5,587.5,1050,550
1112.5,512.5,1112.5,537.5,1112.5,562.5,1112.5,587.5,862.5,587.5,812.5,587.5,787.5,612.5,837.5,587.5,762.5,612.5,712.5,612.5,887.5,587.5,737.5,612.5,787.5,512.5,787.5,537.5,787.5,562.5,787.5,587.5,1050,550
1112.5,512.5,1112.5,537.5,1112.5,562.5,1112.5,587.5,887.5,587.5,837.5,587.5,812.5,587.5,862.5,587.5,787.5,612.5,737.5,612.5,912.5,587.5,762.5,612.5,787.5,512.5,787.5,537.5,787.5,562.5,787.5,587.5,1050,550
1112.5,512.5,1112.5,537.5,1112.5,562.5,1112.5,587.5,912.5,587.5,862.5,587.5,837.5,587.5,887.5,587.5,812.5,587.5,762.5,612.5,987.5,512.5,787.5,612.5,787.5,512.5,787.5,537.5,787.5,562.5,787.5,587.5,1050,550
1112.5,512.5,1112.5,537.5,1112.5,562.5,1112.5,587.5,987.5,587.5,887.5,587.5,862.5,587.5,912.5,587.5,837.5,587.5,787.5,612.5,987.5,512.5,812.5,587.5,787.5,512.5,787.5,537.5,787.5,562.5,787.5,587.5,1050,550
1112.5,512.5,1112.5,537.5,1112.5,562.5,1112.5,587.5,987.5,587.5,912.5,587.5,887.5,587.5,962.5,512.5,862.5,587.5,812.5,587.5,987.5,512.5,837.5,587.5,787.5,512.5,787.5,537.5,787.5,562.5,787.5,587.5,1050,550
1112.5,512.5,1112.5,537.5,1112.5,562.5,1112.5,587.5,987.5,587.5,937.5,512.5,912.5,587.5,962.5,512.5,887.5,587.5,837.5,587.5,987.5,512.5,862.5,587.5,812.5,512.5,812.5,537.5,812.5,562.5,812.5,587.5,1050,550
1112.5,512.5,1112.5,537.5,1112.5,562.5,1112.5,587.5,987.5,587.5,937.5,512.5,912.5,512.5,962.5,512.5,912.5,587.5,862.5,587.5,987.5,512.5,887.5,587.5,812.5,512.5,812.5,537.5,812.5,562.5,812.5,587.5,1050,550
1112.5,512.5,1112.5,537.5,1112.5,562.5,1112.5,587.5,987.5,587.5,937.5,512.5,912.5,512.5,962.5,512.5,962.5,587.5,887.5,587.5,987.5,512.5,912.5,587.5,812.5,512.5,812.5,537.5,812.5,562.5,812.5,587.5,1050,550
1112.5,512.5,1112.5,537.5,1112.5,562.5,1112.5,587.5,987.5,587.5,937.5,512.5,912.5,512.5,962.5,512.5,962.5,587.5,912.5,587.5,987.5,512.5,937.5,587.5,812.5,512.5,812.5,537.5,812.5,562.5,812.5,587.5,1050,550
1187.5,512.5,1187.5,537.5,1187.5,562.5,1187.5,587.5,987.5,587.5,937.5,512.5,912.5,512.5,962.5,512.5,962.5,587.5,912.5,587.5,987.5,512.5,937.5,587.5,887.5,512.5,887.5,537.5,887.5,562.5,887.5,587.5,1050,562.5
,,,,,,,,987.5,587.5,962.5,512.5,937.5,512.5,987.5,512.5,962.5,587.5,912.5,587.5,1112.5,512.5,937.5,587.5,887.5,512.5,887.5,537.5,887.5,562.5,887.5,587.5,1050,562.5
,,,,,,,,987.5,587.5,987.5,512.5,962.5,512.5,1112.5,512.5,962.5,587.5,912.5,587.5,1162.5,587.5,937.5,587.5,887.5,512.5,887.5,537.5,887.5,562.5,887.5,587.5,1050,562.5
,,,,,,,,987.5,587.5,1112.5,512.5,987.5,512.5,1137.5,587.5,962.5,587.5,912.5,587.5,,,937.5,587.5,887.5,512.5,887.5,537.5,887.5,562.5,887.5,587.5,1050,562.5
,,,,,,,,987.5,512.5,1162.5,562.5,1087.5,512.5,,,962.5,587.5,912.5,587.5,,,937.5,587.5,887.5,512.5,887.5,537.5,887.5,562.5,887.5,587.5,1050,562.5
,,,,,,,,1087.5,512.5,,,1137.5,562.5,,,962.5,587.5,912.5,587.5,,,987.5,512.5,887.5,512.5,887.5,537.5,887.5,562.5,887.5,587.5,1050,562.5
,,,,,,,,1162.5,537.5,,,,,,,962.5,587.5,987.5,512.5,,,1087.5,512.5,887.5,512.5,887.5,537.5,887.5,562.5,887.5,587.5,1050,562.5
,,,,,,,,,,,,,,,,1012.5,512.5,1087.5,512.5,,,1137.5,537.5,962.5,512.5,962.5,537.5,962.5,562.5,962.5,587.5,1050,562.5
,,,,,,,,,,,,,,,,1137.5,512.5,1162.5,512.5,,,,,987.5,512.5,987.5,537.5,987.5,562.5,987.5,587.5,1050,562.5
