,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,99
24,"(787.5,487.5)","(762.5,487.5)","(737.5,487.5)","(712.5,487.5)","(787.5,187.5)","(787.5,137.5)","(787.5,112.5)","(787.5,162.5)","(762.5,112.5)","(712.5,112.5)","(712.5,462.5)","(737.5,112.5)","(762.5,137.5)","(762.5,162.5)","(737.5,162.5)","(712.5,187.5)","(737.5,300.0)"
25,"(787.5,487.5)","(762.5,487.5)","(737.5,487.5)","(712.5,487.5)","(787.5,187.5)","(787.5,137.5)","(787.5,112.5)","(787.5,162.5)","(762.5,112.5)","(712.5,112.5)","(712.5,462.5)","(737.5,112.5)","(762.5,162.5)","(762.5,187.5)","(737.5,187.5)","(712.5,187.5)","(737.5,300.0)"
26,"(787.5,487.5)","(762.5,487.5)","(737.5,487.5)","(712.5,487.5)","(787.5,212.5)","(787.5,162.5)","(787.5,137.5)","(787.5,187.5)","(787.5,112.5)","(737.5,112.5)","(712.5,462.5)","(762.5,112.5)","(762.5,162.5)","(762.5,187.5)","(737.5,187.5)","(712.5,187.5)","(737.5,300.0)"
27,"(787.5,487.5)","(762.5,487.5)","(737.5,487.5)","(712.5,487.5)","(787.5,237.5)","(787.5,187.5)","(787.5,162.5)","(787.5,212.5)","(787.5,137.5)","(762.5,112.5)","(712.5,462.5)","(787.5,112.5)","(762.5,162.5)","(762.5,187.5)","(737.5,187.5)","(712.5,187.5)","(737.5,300.0)"
28,"(787.5,487.5)","(762.5,487.5)","(737.5,487.5)","(712.5,487.5)","(787.5,262.5)","(787.5,212.5)","(787.5,187.5)","(787.5,237.5)","(787.5,162.5)","(787.5,112.5)","(712.5,462.5)","(787.5,137.5)","(762.5,162.5)","(762.5,187.5)","(737.5,187.5)","(712.5,187.5)","(737.5,300.0)"
29,"(787.5,487.5)","(762.5,487.5)","(737.5,487.5)","(712.5,487.5)","(787.5,287.5)","(787.5,237.5)","(787.5,212.5)","(787.5,262.5)","(787.5,187.5)","(787.5,137.5)","(712.5,462.5)","(787.5,162.5)","(762.5,162.5)","(762.5,187.5)","(737.5,187.5)","(712.5,187.5)","(737.5,300.0)"
30,"(787.5,487.5)","(762.5,487.5)","(737.5,487.5)","(712.5,487.5)","(787.5,312.5)","(787.5,262.5)","(787.5,237.5)","(787.5,287.5)","(787.5,212.5)","(787.5,162.5)","(712.5,462.5)","(787.5,187.5)","(762.5,162.5)","(762.5,187.5)","(737.5,187.5)","(712.5,187.5)","(737.5,300.0)"
31,"(787.5,487.5)","(762.5,487.5)","(737.5,487.5)","(712.5,487.5)","(787.5,337.5)","(787.5,287.5)","(787.5,262.5)","(787.5,312.5)","(787.5,237.5)","(787.5,187.5)","(712.5,462.5)","(787.5,212.5)","(762.5,162.5)","(762.5,187.5)","(737.5,187.5)","(712.5,187.5)","(737.5,300.0)"
32,"(787.5,487.5)","(762.5,487.5)","(737.5,487.5)","(712.5,487.5)","(787.5,362.5)","(787.5,312.5)","(787.5,287.5)","(787.5,337.5)","(787.5,262.5)","(787.5,212.5)","(712.5,462.5)","(787.5,237.5)","(787.5,187.5)","(762.5,187.5)","(737.5,187.5)","(712.5,187.5)","(737.5,300.0)"
33,"(787.5,487.5)","(762.5,487.5)","(737.5,487.5)","(712.5,487.5)","(712.5,437.5)","(787.5,337.5)","(787.5,312.5)","(787.5,362.5)","(787.5,287.5)","(787.5,237.5)","(712.5,462.5)","(787.5,262.5)","(787.5,187.5)","(762.5,187.5)","(737.5,187.5)","(712.5,187.5)","(737.5,300.0)"
34,"(787.5,487.5)","(762.5,487.5)","(737.5,487.5)","(712.5,487.5)","(712.5,437.5)","(787.5,362.5)","(787.5,337.5)","(712.5,412.5)","(787.5,312.5)","(787.5,262.5)","(712.5,462.5)","(787.5,287.5)","(787.5,187.5)","(762.5,187.5)","(737.5,187.5)","(712.5,187.5)","(737.5,300.0)"
35,"(787.5,487.5)","(762.5,487.5)","(737.5,487.5)","(712.5,487.5)","(712.5,437.5)","(712.5,387.5)","(787.5,362.5)","(712.5,412.5)","(787.5,337.5)","(787.5,287.5)","(712.5,462.5)","(787.5,312.5)","(787.5,187.5)","(762.5,187.5)","(737.5,187.5)","(712.5,187.5)","(737.5,300.0)"
36,"(787.5,487.5)","(762.5,487.5)","(737.5,487.5)","(712.5,487.5)","(712.5,437.5)","(712.5,387.5)","(712.5,362.5)","(712.5,412.5)","(787.5,362.5)","(787.5,312.5)","(712.5,462.5)","(787.5,337.5)","(787.5,237.5)","(762.5,237.5)","(737.5,237.5)","(712.5,237.5)","(737.5,300.0)"
37,"(787.5,487.5)","(762.5,487.5)","(737.5,487.5)","(712.5,487.5)","(712.5,437.5)","(712.5,387.5)","(712.5,362.5)","(712.5,412.5)","(737.5,362.5)","(787.5,337.5)","(712.5,462.5)","(787.5,362.5)","(787.5,237.5)","(762.5,237.5)","(737.5,237.5)","(712.5,237.5)","(737.5,300.0)"
38,"(787.5,487.5)","(762.5,487.5)","(737.5,487.5)","(712.5,487.5)","(712.5,437.5)","(712.5,387.5)","(712.5,362.5)","(712.5,412.5)","(737.5,362.5)","(787.5,362.5)","(712.5,462.5)","(762.5,362.5)","(787.5,237.5)","(762.5,237.5)","(737.5,237.5)","(712.5,237.5)","(737.5,300.0)"
39,"(787.5,512.5)","(762.5,512.5)","(737.5,512.5)","(712.5,512.5)","(712.5,462.5)","(712.5,412.5)","(712.5,387.5)","(712.5,437.5)","(712.5,362.5)","(762.5,362.5)","(712.5,487.5)","(737.5,362.5)","(787.5,237.5)","(762.5,237.5)","(737.5,237.5)","(712.5,237.5)","(737.5,300.0)"
40,"(787.5,512.5)","(762.5,537.5)","(737.5,537.5)","(712.5,537.5)","(712.5,487.5)","(712.5,437.5)","(712.5,412.5)","(712.5,462.5)","(712.5,387.5)","(737.5,362.5)","(687.5,512.5)","(712.5,362.5)","(787.5,237.5)","(762.5,237.5)","(737.5,237.5)","(712.5,237.5)","(737.5,300.0)"
41,"(787.5,512.5)","(762.5,537.5)","(737.5,562.5)","(712.5,562.5)","(687.5,512.5)","(712.5,462.5)","(712.5,437.5)","(712.5,487.5)","(712.5,412.5)","(712.5,362.5)","(687.5,537.5)","(712.5,387.5)","(787.5,237.5)","(762.5,237.5)","(737.5,237.5)","(712.5,237.5)","(737.5,300.0)"
42,"(787.5,512.5)","(762.5,537.5)","(737.5,562.5)","(712.5,587.5)","(687.5,537.5)","(712.5,487.5)","(712.5,462.5)","(687.5,512.5)","(712.5,437.5)","(712.5,387.5)","(687.5,562.5)","(712.5,412.5)","(787.5,237.5)","(762.5,237.5)","(737.5,237.5)","(712.5,237.5)","(737.5,300.0)"
43,"(787.5,512.5)","(762.5,537.5)","(737.5,562.5)","(712.5,587.5)","(687.5,562.5)","(687.5,512.5)","(712.5,487.5)","(687.5,537.5)","(712.5,462.5)","(712.5,412.5)","(687.5,587.5)","(712.5,437.5)","(787.5,262.5)","(762.5,262.5)","(737.5,262.5)","(712.5,262.5)","(737.5,325.0)"
44,"(787.5,512.5)","(762.5,537.5)","(737.5,562.5)","(737.5,587.5)","(687.5,587.5)","(687.5,537.5)","(687.5,512.5)","(687.5,562.5)","(712.5,487.5)","(712.5,437.5)","(712.5,612.5)","(712.5,462.5)","(787.5,287.5)","(762.5,287.5)","(737.5,287.5)","(712.5,287.5)","(737.5,350.0)"
45,"(787.5,512.5)","(762.5,537.5)","(762.5,562.5)","(762.5,587.5)","(712.5,612.5)","(687.5,562.5)","(687.5,537.5)","(687.5,587.5)","(687.5,512.5)","(712.5,462.5)","(737.5,612.5)","(712.5,487.5)","(787.5,312.5)","(762.5,312.5)","(737.5,312.5)","(712.5,312.5)","(737.5,375.0)"
46,"(787.5,512.5)","(787.5,537.5)","(787.5,562.5)","(787.5,587.5)","(737.5,612.5)","(687.5,587.5)","(687.5,562.5)","(712.5,612.5)","(687.5,537.5)","(712.5,487.5)","(762.5,612.5)","(687.5,512.5)","(787.5,337.5)","(762.5,337.5)","(737.5,337.5)","(712.5,337.5)","(737.5,400.0)"
47,"(812.5,512.5)","(812.5,537.5)","(812.5,562.5)","(812.5,587.5)","(762.5,612.5)","(712.5,612.5)","(687.5,587.5)","(737.5,612.5)","(687.5,562.5)","(687.5,512.5)","(787.5,612.5)","(687.5,537.5)","(787.5,362.5)","(762.5,362.5)","(737.5,362.5)","(712.5,362.5)","(737.5,425.0)"
48,"(812.5,512.5)","(812.5,537.5)","(812.5,562.5)","(812.5,587.5)","(762.5,612.5)","(712.5,612.5)","(687.5,587.5)","(737.5,612.5)","(687.5,562.5)","(687.5,512.5)","(787.5,612.5)","(687.5,537.5)","(787.5,487.5)","(762.5,487.5)","(737.5,487.5)","(712.5,487.5)","(737.5,550.0)"
49,"(1112.5,512.5)","(1112.5,537.5)","(1112.5,562.5)","(1112.5,587.5)","(762.5,612.5)","(712.5,612.5)","(687.5,587.5)","(737.5,612.5)","(687.5,562.5)","(687.5,512.5)","(787.5,612.5)","(687.5,537.5)","(787.5,487.5)","(762.5,487.5)","(737.5,487.5)","(712.5,487.5)","(1050.0,550.0)"
50,"(1112.5,512.5)","(1112.5,537.5)","(1112.5,562.5)","(1112.5,587.5)","(762.5,612.5)","(712.5,612.5)","(687.5,587.5)","(737.5,612.5)","(687.5,562.5)","(687.5,512.5)","(787.5,612.5)","(687.5,537.5)","(787.5,512.5)","(762.5,537.5)","(737.5,562.5)","(712.5,587.5)","(1050.0,550.0)"
51,"(1112.5,512.5)","(1112.5,537.5)","(1112.5,562.5)","(1112.5,587.5)","(762.5,612.5)","(712.5,612.5)","(687.5,587.5)","(737.5,612.5)","(687.5,562.5)","(687.5,512.5)","(787.5,612.5)","(687.5,537.5)","(787.5,512.5)","(787.5,537.5)","(787.5,562.5)","(787.5,587.5)","(1050.0,550.0)"
52,"(1112.5,512.5)","(1112.5,537.5)","(1112.5,562.5)","(1112.5,587.5)","(787.5,612.5)","(737.5,612.5)","(712.5,612.5)","(762.5,612.5)","(687.5,587.5)","(687.5,537.5)","(812.5,587.5)","(687.5,562.5)","(787.5,512.5)","(787.5,537.5)","(787.5,562.5)","(787.5,587.5)","(1050.0,550.0)"
53,"(1112.5,512.5)","(1112.5,537.5)","(1112.5,562.5)","(1112.5,587.5)","(812.5,587.5)","(762.5,612.5)","(737.5,612.5)","(787.5,612.5)","(712.5,612.5)","(687.5,562.5)","(837.5,587.5)","(687.5,587.5)","(787.5,512.5)","(787.5,537.5)","(787.5,562.5)","(787.5,587.5)","(1050.0,550.0)"
54,"(1112.5,512.5)","(1112.5,537.5)","(1112.5,562.5)","(1112.5,587.5)","(837.5,587.5)","(787.5,612.5)","(762.5,612.5)","(812.5,587.5)","(737.5,612.5)","(687.5,587.5)","(862.5,587.5)","(712.5,612.5)","(787.5,512.5)","(787.5,537.5)","(787.5,562.5)","(787.5,587.5)","(1050.0,550.0)"
55,"(1112.5,512.5)","(1112.5,537.5)","(1112.5,562.5)","(1112.5,587.5)","(862.5,587.5)","(812.5,587.5)","(787.5,612.5)","(837.5,587.5)","(762.5,612.5)","(712.5,612.5)","(887.5,587.5)","(737.5,612.5)","(787.5,512.5)","(787.5,537.5)","(787.5,562.5)","(787.5,587.5)","(1050.0,550.0)"
56,"(1112.5,512.5)","(1112.5,537.5)","(1112.5,562.5)","(1112.5,587.5)","(887.5,587.5)","(837.5,587.5)","(812.5,587.5)","(862.5,587.5)","(787.5,612.5)","(737.5,612.5)","(912.5,587.5)","(762.5,612.5)","(787.5,512.5)","(787.5,537.5)","(787.5,562.5)","(787.5,587.5)","(1050.0,550.0)"
57,"(1112.5,512.5)","(1112.5,537.5)","(1112.5,562.5)","(1112.5,587.5)","(912.5,587.5)","(862.5,587.5)","(837.5,587.5)","(887.5,587.5)","(812.5,587.5)","(762.5,612.5)","(987.5,512.5)","(787.5,612.5)","(787.5,512.5)","(787.5,537.5)","(787.5,562.5)","(787.5,587.5)","(1050.0,550.0)"
58,"(1112.5,512.5)","(1112.5,537.5)","(1112.5,562.5)","(1112.5,587.5)","(987.5,587.5)","(887.5,587.5)","(862.5,587.5)","(912.5,587.5)","(837.5,587.5)","(787.5,612.5)","(987.5,512.5)","(812.5,587.5)","(787.5,512.5)","(787.5,537.5)","(787.5,562.5)","(787.5,587.5)","(1050.0,550.0)"
59,"(1112.5,512.5)","(1112.5,537.5)","(1112.5,562.5)","(1112.5,587.5)","(987.5,587.5)","(912.5,587.5)","(887.5,587.5)","(962.5,512.5)","(862.5,587.5)","(812.5,587.5)","(987.5,512.5)","(837.5,587.5)","(787.5,512.5)","(787.5,537.5)","(787.5,562.5)","(787.5,587.5)","(1050.0,550.0)"
60,"(1112.5,512.5)","(1112.5,537.5)","(1112.5,562.5)","(1112.5,587.5)","(987.5,587.5)","(937.5,512.5)","(912.5,587.5)","(962.5,512.5)","(887.5,587.5)","(837.5,587.5)","(987.5,512.5)","(862.5,587.5)","(812.5,512.5)","(812.5,537.5)","(812.5,562.5)","(812.5,587.5)","(1050.0,550.0)"
61,"(1112.5,512.5)","(1112.5,537.5)","(1112.5,562.5)","(1112.5,587.5)","(987.5,587.5)","(937.5,512.5)","(912.5,512.5)","(962.5,512.5)","(912.5,587.5)","(862.5,587.5)","(987.5,512.5)","(887.5,587.5)","(812.5,512.5)","(812.5,537.5)","(812.5,562.5)","(812.5,587.5)","(1050.0,550.0)"
62,"(1112.5,512.5)","(1112.5,537.5)","(1112.5,562.5)","(1112.5,587.5)","(987.5,587.5)","(937.5,512.5)","(912.5,512.5)","(962.5,512.5)","(962.5,587.5)","(887.5,587.5)","(987.5,512.5)","(912.5,587.5)","(812.5,512.5)","(812.5,537.5)","(812.5,562.5)","(812.5,587.5)","(1050.0,550.0)"
63,"(1112.5,512.5)","(1112.5,537.5)","(1112.5,562.5)","(1112.5,587.5)","(987.5,587.5)","(937.5,512.5)","(912.5,512.5)","(962.5,512.5)","(962.5,587.5)","(912.5,587.5)","(987.5,512.5)","(937.5,587.5)","(812.5,512.5)","(812.5,537.5)","(812.5,562.5)","(812.5,587.5)","(1050.0,550.0)"
64,"(1187.5,512.5)","(1187.5,537.5)","(1187.5,562.5)","(1187.5,587.5)","(987.5,587.5)","(937.5,512.5)","(912.5,512.5)","(962.5,512.5)","(962.5,587.5)","(912.5,587.5)","(987.5,512.5)","(937.5,587.5)","(887.5,512.5)","(887.5,537.5)","(887.5,562.5)","(887.5,587.5)","(1050.0,562.5)"
65,"(nan,nan)","(nan,nan)","(nan,nan)","(nan,nan)","(987.5,587.5)","(962.5,512.5)","(937.5,512.5)","(987.5,512.5)","(962.5,587.5)","(912.5,587.5)","(1112.5,512.5)","(937.5,587.5)","(887.5,512.5)","(887.5,537.5)","(887.5,562.5)","(887.5,587.5)","(1050.0,562.5)"
66,"(nan,nan)","(nan,nan)","(nan,nan)","(nan,nan)","(987.5,587.5)","(987.5,512.5)","(962.5,512.5)","(1112.5,512.5)","(962.5,587.5)","(912.5,587.5)","(1162.5,587.5)","(937.5,587.5)","(887.5,512.5)","(887.5,537.5)","(887.5,562.5)","(887.5,587.5)","(1050.0,562.5)"
67,"(nan,nan)","(nan,nan)","(nan,nan)","(nan,nan)","(987.5,587.5)","(1112.5,512.5)","(987.5,512.5)","(1137.5,587.5)","(962.5,587.5)","(912.5,587.5)","(nan,nan)","(937.5,587.5)","(887.5,512.5)","(887.5,537.5)","(887.5,562.5)","(887.5,587.5)","(1050.0,562.5)"
68,"(nan,nan)","(nan,nan)","(nan,nan)","(nan,nan)","(987.5,512.5)","(1162.5,562.5)","(1087.5,512.5)","(nan,nan)","(962.5,587.5)","(912.5,587.5)","(nan,nan)","(937.5,587.5)","(887.5,512.5)","(887.5,537.5)","(887.5,562.5)","(887.5,587.5)","(1050.0,562.5)"
69,"(nan,nan)","(nan,nan)","(nan,nan)","(nan,nan)","(1087.5,512.5)","(nan,nan)","(1137.5,562.5)","(nan,nan)","(962.5,587.5)","(912.5,587.5)","(nan,nan)","(987.5,512.5)","(887.5,512.5)","(887.5,537.5)","(887.5,562.5)","(887.5,587.5)","(1050.0,562.5)"
70,"(nan,nan)","(nan,nan)","(nan,nan)","(nan,nan)","(1162.5,537.5)","(nan,nan)","(nan,nan)","(nan,nan)","(962.5,587.5)","(987.5,512.5)","(nan,nan)","(1087.5,512.5)","(887.5,512.5)","(887.5,537.5)","(887.5,562.5)","(887.5,587.5)","(1050.0,562.5)"
71,"(nan,nan)","(nan,nan)","(nan,nan)","(nan,nan)","(nan,nan)","(nan,nan)","(nan,nan)","(nan,nan)","(1012.5,512.5)","(1087.5,512.5)","(nan,nan)","(1137.5,537.5)","(962.5,512.5)","(962.5,537.5)","(962.5,562.5)","(962.5,587.5)","(1050.0,562.5)"
72,"(nan,nan)","(nan,nan)","(nan,nan)","(nan,nan)","(nan,nan)","(nan,nan)","(nan,nan)","(nan,nan)","(1137.5,512.5)","(1162.5,512.5)","(nan,nan)","(nan,nan)","(987.5,512.5)","(987.5,537.5)","(987.5,562.5)","(987.5,587.5)","(1050.0,562.5)"
